objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,
coll001,IP01.jpg,,Katie Sandwina With the Anvil,,circa 1940,"Katie Sandwina, also known as a Strong Lady, on a bed of nails. Two men are getting ready to strike the anvil situated atop her abdomen with hammers. Ringling Museum Archives. ",Infliction of pain,,,,Ringling Museum Archives,,Photograph,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/,
coll002,IP02.jpg,,"The Stone, the Hammer & Billy Wells
",,1915,"Billy Wells whose skull was thick, he allowed stone to be laid on top his head and broken with a hammer. Barnum and Bailey Attraction. Ringling Museum Archives.",Infliction of pain,,,,Ringling Museum Archives,,Photograph,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/,
coll003,IP03.jpg,,Drawing of Suspended Man,,circa 1900,Drawing of a man suspended in air by his chest. Two men in the background are seen pulling ropes connected to a tree branch. ,Infliction of pain,,,,Ringling Museum Archives,,Illustration,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/,
coll004,NN02.jpg,,Maid of Steel the First,Bernard Kobel,"circa 1940
",Woman lying on a bed of nails. Her arms are suspended by behind her back. She is known as the Maid of Steel. Photographed by Bernard Kobel. ,Needles and nails,,,,Ringling Museum Archives,,"Photograph
",image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/,
coll005,NN03.jpg,,Posing for Tattoos,,1935,"Woman posing for photograph while being tattooed. Her tattoo artist is focusing solely on her arm, while she is facing the camera. Ringling Museum Archives.",Needles and nails,,,,Ringling Museum Archives,,"Photograph
",image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/,
coll006,NN04.jpg,,The Human Pincushion,,1933,"Ringling Museum Archives.Arthur Plumhoff, his nerves did not register pain at all and he stuck these numerous pins through his cheeks without feeling. Believe It Or Not Shows, Chicago Worlds Fair 1933. Ringling Museum Archives.",Needles and nails,,,,Ringling Museum Archives,,Photograph,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/,
coll007,SS01.jpg,,Captain Ringman Jack,,circa 1930,"Captain Ringman Jack pictured lifting a large, canon-ball sized weight by his chest. Ringling Museum Archives.",Strength,,,,Ringling Museum Archives,,Photograph,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/,
coll008,SS02.jpg,,"Charmion, the Strong Lady",Frederick Whitman Glasier,1904,"Lavarie Vallee, known by her stage name as Charmion, bares her flesh and flexes for photographer Frederick Whitman Glasier. Her remarkable muscles dominate the frame, centered and molded by bright light and dark shadows against a stark black background. Her extraordinary physical ability is inseperably characterized parallel to her femininity and sexuality. Ringling Museum Archives.",Strength,,,,Ringling Museum Archives,,Photograph,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/,
coll009,SS03.jpg,,The Great and Beautiful Katie Sandwina,Frederick Whitman Glasier,1912,"Barnum and Bailey Circus' Katie Sandwina, when she is not pinned down to a bed of nails by a large anvil and enduring a beating with hammers, poses before photographer Frederick Whitman Glasier as a muscular ballerina. She wears flowers, feathers, and a sequined leotard. Ringling Museum Archives.",Strength,,,,Ringling Museum Archives,,Photograph,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/,
coll010,SS04.jpg,,The Iron Tongue,,,"Sisto, the Iron Tongue man, lifts heavy weights with his tongue and is shown here lifting a piece of steel with his muscular tongue. Ringling Museum Archives.",Strength,,,,Ringling Museum Archives,,Photograph,image/jpeg,eng,,http://rightsstatements.org/vocab/InC-NC/1.0/,
